,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_3drna_rp07_3.pdb,25.583,0.0,0.667,0.83,0.0,0.645,38.357,26.61,0.284,0.146,0.243,0.335,0.411,0.0,0.367,2.641,1.576,3.902,0.47,0.701,,,
normalized_3drna_rp07_1.pdb,25.773,0.0,0.714,0.846,0.316,0.684,36.09,22.89,0.269,0.157,0.265,0.308,0.346,0.0,0.329,2.648,1.546,3.854,0.525,0.73,,,
normalized_simrna_rp07.pdb,26.865,5.551115123125783e-17,0.73,0.847,0.0,0.714,36.778,23.8,0.143,0.07,0.124,0.141,0.238,0.0,0.221,2.76,1.542,5.201,0.009,0.704,,,
normalized_rnacomposer_rp07.pdb,27.09,2.220446049250313e-16,0.73,0.899,0.2,0.691,37.113,23.36,0.172,0.076,0.124,0.173,0.314,0.0,0.256,2.805,1.402,4.101,0.545,0.732,,,
normalized_vfoldpipeline_rp07.pdb,32.628,2.2289978546252698e-07,0.794,0.875,0.23,0.811,41.097,19.11,0.303,0.13,0.254,0.378,0.449,0.0,0.426,3.307,1.241,4.333,0.234,0.79,,,
normalized_rnajp_rp07.pdb,37.167,0.0057565872621513,0.79,0.889,0.365,0.768,47.017,21.52,0.157,0.07,0.119,0.184,0.254,0.0,0.215,3.771,1.279,5.859,0.054,0.747,,,
normalized_eprna_rp07.pdb,44.501,0.9391698477497276,0.0,0.0,0.0,0.0,inf,95.51,0.046,0.022,0.027,0.049,0.086,0.0,0.129,4.443,2.637,0.406,0.0,0.456,,,
normalized_ifoldrna_rp07_4.pdb,75.442,1.0,0.178,0.0,0.0,0.303,422.937,28.98,0.061,0.032,0.049,0.065,0.097,0.0,0.106,7.562,2.202,0.652,0.002,0.56,,,
normalized_ifoldrna_rp07_1.pdb,75.498,1.0,0.184,0.0,0.0,0.298,409.727,29.81,0.064,0.027,0.043,0.065,0.119,0.0,0.13,7.547,2.183,0.557,0.002,0.566,,,
normalized_ifoldrna_rp07_5.pdb,76.63,1.0,0.179,0.0,0.0,0.268,429.197,30.72,0.058,0.027,0.049,0.065,0.092,0.0,0.111,7.706,2.116,0.455,0.007,0.56,,,
normalized_ifoldrna_rp07_2.pdb,84.415,1.0,0.242,,0.0,0.339,349.189,29.65,0.059,0.027,0.054,0.07,0.086,0.0,0.114,8.488,2.103,0.504,0.002,0.573,,,
normalized_ifoldrna_rp07_3.pdb,86.59,1.0,0.204,0.0,0.0,0.304,424.351,30.17,0.061,0.027,0.038,0.065,0.114,0.0,0.104,8.717,2.124,0.496,0.005,0.587,,,
normalized_alphafold3_rp07_1.pdb,19.188,0.0,0.852,0.947,0.3,0.847,22.524,16.61,0.274,0.103,0.173,0.292,0.53,0.0,0.421,1.957,1.183,5.632,0.644,0.814,0.0,100.0,185.0
normalized_alphafold3_rp07_3.pdb,19.203,0.0,0.853,0.947,0.286,0.85,22.522,16.52,0.277,0.097,0.178,0.292,0.54,0.0,0.426,1.96,1.176,5.625,0.662,0.814,0.0,100.0,185.0
normalized_alphafold3_rp07_4.pdb,19.469,0.0,0.848,0.947,0.274,0.847,22.948,16.42,0.27,0.097,0.168,0.297,0.519,0.0,0.415,1.986,1.166,5.634,0.634,0.815,0.0,100.0,185.0
normalized_alphafold3_rp07_2.pdb,19.494,0.0,0.85,0.947,0.286,0.847,22.93,16.51,0.269,0.108,0.168,0.286,0.513,0.0,0.411,1.989,1.191,5.606,0.624,0.813,0.0,100.0,185.0
normalized_alphafold3_rp07_5.pdb,20.28,0.0,0.854,0.955,0.365,0.847,23.738,16.52,0.255,0.108,0.146,0.281,0.486,0.0,0.382,2.07,1.175,5.644,0.645,0.811,0.0,100.0,185.0
