,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_rhofold_rp24.pdb,25.358,0.0003694647749254,0.211,0.0,0.0,0.365,119.967,59.39,0.122,0.045,0.081,0.135,0.225,0.0,0.204,2.59,2.623,0.642,0.188,0.193,,,
normalized_ifoldrna_rp24_4.pdb,29.566,0.1498067987142748,0.266,0.0,0.0,0.463,111.096,28.46,0.099,0.063,0.081,0.108,0.144,0.0,0.152,3.028,2.354,1.187,0.002,0.231,,,
normalized_ifoldrna_rp24_1.pdb,29.918,0.2000447075900793,0.325,0.0,0.0,0.519,91.98,27.8,0.088,0.054,0.072,0.099,0.126,0.0,0.158,3.037,2.35,1.337,0.001,0.218,,,
normalized_eprna_rp24.pdb,30.991,0.4030185812256529,0.0,0.0,0.0,0.0,inf,95.39,0.068,0.027,0.045,0.072,0.126,0.0,0.129,3.083,2.486,0.209,0.0,0.164,,,
normalized_ifoldrna_rp24_2.pdb,31.312,0.4731339924094117,0.284,0.0,0.0,0.435,110.301,28.41,0.095,0.054,0.081,0.099,0.144,0.0,0.191,3.193,2.332,1.265,0.004,0.218,,,
normalized_ifoldrna_rp24_5.pdb,33.003,0.8084860115776366,0.316,0.0,0.0,0.521,104.504,27.62,0.097,0.054,0.072,0.108,0.153,0.0,0.181,3.348,2.353,1.177,0.0,0.221,,,
normalized_ifoldrna_rp24_3.pdb,34.818,0.9700039002979236,0.218,0.0,0.0,0.368,159.905,27.33,0.099,0.054,0.081,0.099,0.162,0.0,0.196,3.536,2.295,0.964,0.006,0.215,,,
normalized_alphafold3_rp24_4.pdb,19.161,4.622191518421914e-12,0.86,0.89,0.0,0.861,22.274,14.01,0.243,0.09,0.153,0.279,0.451,0.0,0.332,1.96,1.078,5.449,0.665,0.264,0.0,69.369,77.0
normalized_alphafold3_rp24_2.pdb,19.278,7.2642447612736305e-12,0.856,0.89,0.0,0.864,22.516,13.97,0.241,0.09,0.144,0.279,0.451,0.0,0.317,1.973,1.076,5.375,0.624,0.264,0.0,69.369,77.0
normalized_alphafold3_rp24_1.pdb,19.465,1.4780565660288403e-11,0.86,0.89,0.0,0.861,22.628,13.87,0.245,0.09,0.153,0.279,0.46,0.0,0.321,1.991,1.088,5.416,0.664,0.264,0.0,69.369,77.0
normalized_alphafold3_rp24_5.pdb,19.636,2.808447918667412e-11,0.86,0.89,0.0,0.861,22.827,14.0,0.241,0.09,0.144,0.279,0.451,0.0,0.323,2.006,1.081,5.429,0.632,0.265,0.0,69.369,77.0
normalized_alphafold3_rp24_3.pdb,19.702,3.5772718121052094e-11,0.856,0.89,0.0,0.855,23.011,13.8,0.245,0.09,0.153,0.279,0.46,0.0,0.32,2.015,1.086,5.414,0.671,0.264,0.0,69.369,77.0
