,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_isrna_rp32.pdb,13.137,0.001211194781121,0.779,0.935,,0.757,16.864,26.05,0.219,0.125,0.188,0.208,0.354,0.0,0.249,1.4,1.426,1.038,0.456,0.011,,,
normalized_3drna_rp32_4.pdb,15.501,0.0427668680780012,0.719,0.935,,0.667,21.558,32.14,0.24,0.125,0.229,0.25,0.354,0.0,0.257,1.638,1.512,1.058,0.503,0.011,,,
normalized_3drna_rp32_3.pdb,15.815,0.0611829571093072,0.723,0.875,,0.695,21.864,35.63,0.208,0.104,0.125,0.229,0.375,0.0,0.219,1.666,1.539,1.091,0.494,0.011,,,
normalized_mcsym_rp32_3.pdb,21.961,0.9692071690328254,0.422,0.0,,0.622,51.982,35.16,0.208,0.125,0.167,0.25,0.292,0.0,0.242,2.246,2.234,1.127,0.015,0.012,,,
normalized_vfold_rp32.pdb,22.167,0.9763557396173036,0.332,0.0,0.0,0.528,66.768,31.0,0.193,0.125,0.146,0.208,0.292,0.0,0.282,2.285,2.293,0.854,0.003,0.009,,,
normalized_mcsym_rp32_2.pdb,23.298,0.995498734660038,0.325,0.0,,0.487,71.683,37.4,0.188,0.125,0.146,0.188,0.292,0.0,0.226,2.368,2.266,1.131,0.015,0.01,,,
normalized_mcsym_rp32_5.pdb,25.746,0.9999644303884918,0.346,0.0,,0.507,74.48,39.45,0.213,0.125,0.188,0.25,0.292,0.0,0.275,2.622,2.269,1.121,0.004,0.011,,,
normalized_mcsym_rp32_4.pdb,27.834,0.9999998567524724,0.386,0.0,,0.572,72.033,37.24,0.208,0.104,0.188,0.25,0.292,0.0,0.25,2.846,2.221,1.117,0.014,0.01,,,
normalized_mcsym_rp32_1.pdb,27.851,0.999999863725038,0.397,0.0,0.0,0.579,70.234,37.02,0.224,0.125,0.208,0.25,0.312,0.0,0.262,2.83,2.243,1.056,0.005,0.009,,,
normalized_simrna_rp32.pdb,,,0.132,,,0.164,,,0.146,0.083,0.104,0.167,0.229,0.0,0.071,,,0.019,0.0,0.568,,,
normalized_rnajp_rp32.pdb,,,0.431,0.0,0.0,0.627,,,0.229,0.146,0.188,0.271,0.312,0.0,0.235,,,1.32,0.071,0.605,,,
normalized_alphafold3_rp32_5.pdb,,,0.4,0.0,0.0,0.622,,,0.458,0.229,0.312,0.479,0.812,0.0,0.266,,,1.325,0.503,0.738,0.0,100.0,48.0
normalized_alphafold3_rp32_3.pdb,,,0.393,0.0,0.0,0.622,,,0.448,0.229,0.312,0.458,0.792,0.0,0.246,,,1.311,0.51,0.736,0.0,100.0,48.0
normalized_alphafold3_rp32_1.pdb,,,0.389,0.0,0.0,0.603,,,0.469,0.229,0.333,0.479,0.833,0.0,0.238,,,1.322,0.565,0.739,0.0,100.0,48.0
normalized_alphafold3_rp32_2.pdb,,,0.397,0.0,0.0,0.622,,,0.474,0.229,0.333,0.5,0.833,0.0,0.259,,,1.33,0.478,0.735,0.0,100.0,48.0
normalized_alphafold3_rp32_4.pdb,,,0.386,0.0,0.0,0.603,,,0.453,0.229,0.312,0.458,0.812,0.0,0.253,,,1.311,0.516,0.742,0.0,100.0,48.0
