,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_3drna_rp18_5.pdb,16.371,1.0074961723449682e-05,0.697,0.667,0.408,0.738,23.473,21.82,0.479,0.211,0.422,0.563,0.718,0.0,0.428,1.648,1.565,1.327,0.5,0.707,,,
normalized_mcsym_rp18_2.pdb,16.458,1.2506107094190089e-05,0.566,0.567,0.0,0.602,29.072,34.63,0.264,0.127,0.225,0.282,0.422,0.0,0.276,1.65,1.876,2.487,0.026,0.621,,,
normalized_mcsym_rp18_4.pdb,16.752,2.542732896199107e-05,0.59,0.588,0.289,0.615,28.374,31.92,0.285,0.183,0.225,0.282,0.451,0.0,0.252,1.679,1.882,2.483,0.02,0.628,,,
normalized_vfoldpipeline_rp18.pdb,17.23,7.658689349571146e-05,0.683,0.784,0.0,0.679,25.227,21.43,0.236,0.141,0.225,0.254,0.324,0.0,0.244,1.803,1.523,1.838,0.455,0.681,,,
normalized_3drna_rp18_2.pdb,17.606,0.0001736050409877,0.734,0.81,0.289,0.734,23.986,23.68,0.458,0.141,0.338,0.606,0.747,0.0,0.38,1.784,1.487,1.491,0.52,0.708,,,
normalized_mcsym_rp18_1.pdb,17.623,0.0001800038370836,0.563,0.588,0.0,0.585,31.326,39.29,0.25,0.141,0.183,0.254,0.422,0.0,0.201,1.781,1.919,2.481,0.02,0.599,,,
normalized_3drna_rp18.pdb,17.818,0.0002707184291936,0.551,0.588,0.289,0.555,32.346,24.78,0.229,0.183,0.197,0.211,0.324,0.0,0.184,1.856,1.88,2.04,0.413,0.628,,,
normalized_3drna_rp18_4.pdb,17.945,0.0003508485115527,0.668,0.76,0.471,0.645,26.861,22.12,0.254,0.169,0.197,0.282,0.366,0.0,0.208,1.839,1.562,2.075,0.453,0.682,,,
normalized_eprna_rp18.pdb,19.268,0.0039784856254642,0.0,,0.0,0.0,inf,91.76,0.187,0.056,0.099,0.183,0.408,0.0,0.168,1.908,2.244,0.058,0.0,0.436,,,
normalized_mcsym_rp18_5.pdb,19.676,0.0076058263966337,0.599,0.588,0.236,0.633,32.842,33.65,0.278,0.155,0.239,0.31,0.408,0.0,0.295,1.982,1.855,2.547,0.019,0.627,,,
normalized_rnacomposer_rp18.pdb,19.907,0.0107641430484504,0.709,0.784,0.471,0.697,28.06,22.09,0.25,0.197,0.197,0.254,0.352,0.0,0.218,2.0,1.542,1.541,0.482,0.694,,,
normalized_3drna_rp18_1.pdb,20.206,0.0164696793864753,0.672,0.76,0.289,0.662,30.056,22.42,0.289,0.183,0.225,0.324,0.422,0.0,0.262,1.991,1.496,2.005,0.504,0.692,,,
normalized_isrna_rp18.pdb,20.588,0.0273996048044031,0.719,0.784,0.0,0.733,28.623,19.7,0.243,0.155,0.211,0.254,0.352,0.0,0.207,2.093,1.465,2.319,0.45,0.68,,,
normalized_ifoldrna_rp18_3.pdb,20.938,0.0421824260735361,0.311,0.227,0.0,0.396,67.226,30.1,0.201,0.085,0.169,0.225,0.324,0.0,0.187,2.096,2.096,0.412,0.0,0.59,,,
normalized_rnajp_rp18.pdb,23.546,0.3907930141250263,0.644,0.588,0.408,0.689,36.543,20.9,0.254,0.169,0.239,0.268,0.338,0.0,0.225,2.36,1.718,2.695,0.03,0.636,,,
normalized_ifoldrna_rp18_5.pdb,24.168,0.5272701724897584,0.284,0.289,0.0,0.344,85.246,28.25,0.183,0.099,0.155,0.225,0.254,0.0,0.152,2.464,2.116,0.598,0.004,0.555,,,
normalized_ifoldrna_rp18_2.pdb,24.232,0.541313038118028,0.334,0.283,0.0,0.452,72.645,29.46,0.194,0.113,0.197,0.225,0.239,0.0,0.187,2.492,2.123,0.432,0.004,0.57,,,
normalized_ifoldrna_rp18_1.pdb,24.971,0.6965193731461115,0.357,0.267,0.0,0.458,69.924,28.83,0.172,0.085,0.155,0.211,0.239,0.0,0.152,2.538,2.014,0.6,0.001,0.56,,,
normalized_ifoldrna_rp18_4.pdb,27.844,0.9825891544459836,0.342,0.302,,0.376,81.326,26.0,0.222,0.127,0.183,0.225,0.352,0.0,0.182,2.849,1.967,0.368,0.002,0.575,,,
normalized_alphafold3_rp18_2.pdb,1.47,0.0,0.928,1.0,0.707,0.918,1.584,8.53,0.884,0.634,0.901,1.0,1.0,0.0,0.812,0.147,0.413,2.669,0.823,0.931,0.0,100.0,71.0
normalized_alphafold3_rp18_5.pdb,1.479,0.0,0.919,1.0,0.73,0.904,1.609,7.78,0.894,0.69,0.887,1.0,1.0,0.0,0.832,0.144,0.423,2.632,0.912,0.929,0.0,100.0,71.0
normalized_alphafold3_rp18_4.pdb,1.546,0.0,0.923,1.0,0.707,0.911,1.675,7.84,0.884,0.662,0.873,1.0,1.0,0.0,0.818,0.155,0.414,2.66,0.913,0.93,0.0,100.0,71.0
normalized_alphafold3_rp18_3.pdb,1.77,0.0,0.923,1.0,0.707,0.911,1.918,8.62,0.842,0.549,0.817,1.0,1.0,0.0,0.782,0.178,0.419,2.678,0.912,0.931,0.0,100.0,71.0
normalized_alphafold3_rp18_1.pdb,2.076,0.0,0.913,1.0,0.612,0.904,2.273,7.91,0.82,0.521,0.761,1.0,1.0,0.0,0.735,0.214,0.413,2.655,0.903,0.926,0.0,100.0,71.0
