,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_mcsym_rp29_5.pdb,15.959,0.0204247954883168,0.59,0.546,0.0,0.642,27.053,37.76,0.312,0.154,0.269,0.365,0.462,0.0,0.251,1.704,1.637,1.898,0.009,0.734,,,
normalized_3drna_rp29_2.pdb,16.22,0.0287085352113805,0.559,0.567,0.5,0.561,28.998,38.13,0.303,0.211,0.288,0.327,0.385,0.0,0.266,1.691,1.816,1.034,0.425,0.647,,,
normalized_3drna_rp29_5.pdb,16.796,0.0570477601338116,0.54,0.552,0.5,0.541,31.079,32.63,0.288,0.211,0.288,0.308,0.346,0.0,0.263,1.733,1.699,1.081,0.428,0.698,,,
normalized_3drna_rp29_4.pdb,16.84,0.0598785494565479,0.559,0.509,0.0,0.607,30.106,34.11,0.279,0.25,0.269,0.288,0.308,0.0,0.248,1.722,1.681,1.075,0.412,0.675,,,
normalized_rhofold_rp29.pdb,17.053,0.0753161847835192,0.54,0.621,0.0,0.57,31.557,52.09,0.337,0.173,0.327,0.365,0.481,0.0,0.285,1.793,1.627,0.922,0.461,0.68,,,
normalized_mcsym_rp29_2.pdb,17.1,0.079088708529158,0.595,0.563,,0.625,28.722,32.44,0.279,0.192,0.269,0.308,0.346,0.0,0.276,1.765,1.732,1.82,0.007,0.711,,,
normalized_rnacomposer_rp29.pdb,17.279,0.0948404127415075,0.619,0.563,0.707,0.643,27.928,23.14,0.288,0.192,0.269,0.327,0.365,0.0,0.234,1.852,1.635,1.143,0.446,0.681,,,
normalized_rnajp_rp29.pdb,17.332,0.0999116094550589,0.614,0.582,0.408,0.643,28.22,24.23,0.279,0.173,0.288,0.308,0.346,0.0,0.325,1.791,1.734,2.19,0.042,0.679,,,
normalized_mcsym_rp29_4.pdb,17.394,0.1060034931575077,0.64,0.546,,0.7,27.157,34.74,0.279,0.173,0.288,0.308,0.346,0.0,0.333,1.792,1.682,1.891,0.017,0.726,,,
normalized_3drna_rp29_1.pdb,18.267,0.2228141820402686,0.559,0.526,0.5,0.58,32.658,30.33,0.288,0.211,0.288,0.308,0.346,0.0,0.273,1.867,1.684,0.886,0.41,0.672,,,
normalized_mcsym_rp29_3.pdb,19.069,0.3754743556760641,0.561,0.6,0.0,0.573,33.97,31.68,0.269,0.211,0.269,0.288,0.308,0.0,0.273,1.981,1.753,1.699,0.016,0.68,,,
normalized_simrna_rp29.pdb,41.33,1.0,0.0,,0.0,,inf,39.45,0.125,0.077,0.096,0.135,0.192,0.0,0.082,3.922,1.864,0.025,0.0,0.585,,,
normalized_alphafold3_rp29_5.pdb,1.19,0.0,0.938,1.0,0.707,0.916,1.269,10.54,0.923,0.712,0.981,1.0,1.0,0.0,0.772,0.121,0.266,2.557,0.935,0.939,0.0,100.0,52.0
normalized_alphafold3_rp29_3.pdb,1.223,0.0,0.946,1.0,0.707,0.929,1.293,10.58,0.918,0.692,0.981,1.0,1.0,0.0,0.763,0.123,0.276,2.542,0.936,0.94,0.0,100.0,52.0
normalized_alphafold3_rp29_4.pdb,1.241,0.0,0.938,1.0,0.707,0.916,1.324,10.42,0.913,0.673,0.981,1.0,1.0,0.0,0.758,0.129,0.26,2.526,0.937,0.943,0.0,100.0,52.0
normalized_alphafold3_rp29_1.pdb,1.254,0.0,0.938,1.0,0.707,0.916,1.338,10.49,0.913,0.673,0.981,1.0,1.0,0.0,0.763,0.128,0.272,2.525,0.939,0.943,0.0,100.0,52.0
normalized_alphafold3_rp29_2.pdb,1.329,0.0,0.938,1.0,0.707,0.916,1.417,10.58,0.899,0.615,0.981,1.0,1.0,0.0,0.738,0.135,0.294,2.522,0.934,0.938,0.0,100.0,52.0
