,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_3drna_rp21_3.pdb,11.66,0.0028443410171566,0.595,0.647,0.645,0.564,19.594,28.75,0.646,0.585,0.61,0.658,0.732,0.0,0.548,1.203,1.725,0.734,0.573,0.656,,,
normalized_3drna_rp21_4.pdb,11.855,0.003940741915201,0.554,0.614,0.359,0.588,21.402,27.95,0.646,0.512,0.634,0.683,0.756,0.0,0.522,1.212,1.771,0.782,0.595,0.638,,,
normalized_eprna_rp21.pdb,13.065,0.0236040445685573,0.0,,0.0,,inf,84.15,0.232,0.098,0.146,0.244,0.439,0.0,0.129,1.195,2.327,0.014,0.0,0.456,,,
normalized_3drna_rp21.pdb,13.381,0.0352098300747884,0.468,0.614,0.0,0.528,28.619,31.73,0.408,0.244,0.342,0.439,0.61,0.0,0.25,1.301,2.036,0.694,0.362,0.624,,,
normalized_rnajp_rp21.pdb,17.13,0.6078788255453069,0.556,0.614,0.0,0.629,30.821,28.41,0.384,0.122,0.244,0.463,0.707,0.0,0.17,1.751,1.864,0.755,0.033,0.599,,,
normalized_vfold_rp21.pdb,17.624,0.7081215970678212,0.492,0.647,0.0,0.562,35.807,34.02,0.378,0.122,0.244,0.488,0.658,0.0,0.181,1.816,1.994,0.518,0.001,0.615,,,
normalized_ifoldrna_rp21_4.pdb,19.217,0.9240519744736758,0.227,0.0,0.0,0.371,84.654,36.74,0.22,0.146,0.146,0.268,0.317,0.0,0.179,1.975,2.637,0.376,0.004,0.529,,,
normalized_ifoldrna_rp21_5.pdb,19.639,0.9522732610101584,0.191,0.0,0.0,0.336,103.081,34.59,0.189,0.122,0.146,0.22,0.268,0.0,0.128,2.037,2.555,0.374,0.006,0.503,,,
normalized_rnacomposer_rp21.pdb,20.368,0.9808955679455356,0.529,0.614,,0.575,38.499,33.32,0.348,0.195,0.317,0.39,0.488,0.0,0.21,2.067,1.955,0.603,0.32,0.546,,,
normalized_isrna_rp21.pdb,20.62,0.986529526008306,0.582,0.614,,0.659,35.437,29.06,0.348,0.171,0.268,0.415,0.537,0.0,0.206,2.078,1.907,0.723,0.355,0.605,,,
normalized_vfoldpipeline_rp21.pdb,20.792,0.9895091061228702,0.519,0.614,,0.563,40.077,27.09,0.335,0.122,0.244,0.366,0.61,0.0,0.198,2.06,1.984,0.776,0.315,0.563,,,
normalized_ifoldrna_rp21_3.pdb,21.994,0.9985399777807756,0.21,0.0,,0.359,104.978,36.17,0.195,0.098,0.146,0.244,0.293,0.0,0.189,2.266,2.523,0.366,0.015,0.509,,,
normalized_ifoldrna_rp21_2.pdb,22.763,0.9996669215496972,0.142,0.0,0.0,0.259,160.443,35.5,0.22,0.122,0.171,0.268,0.317,0.0,0.141,2.308,2.537,0.452,0.005,0.521,,,
normalized_ifoldrna_rp21_1.pdb,23.851,0.9999693455559489,0.166,0.0,0.0,0.325,143.836,36.28,0.195,0.146,0.146,0.195,0.293,0.0,0.18,2.416,2.513,0.359,0.007,0.512,,,
normalized_alphafold3_rp21_3.pdb,1.294,0.0,0.808,0.92,0.566,0.832,1.6,20.64,0.933,0.756,0.976,1.0,1.0,0.0,0.741,0.141,0.638,0.984,0.642,0.908,0.0,100.0,39.0
normalized_alphafold3_rp21_2.pdb,1.301,0.0,0.819,0.92,0.516,0.862,1.588,20.96,0.939,0.78,0.976,1.0,1.0,0.0,0.732,0.142,0.646,0.99,0.58,0.902,0.0,100.0,39.0
normalized_alphafold3_rp21_4.pdb,1.339,0.0,0.816,0.92,0.566,0.844,1.64,20.59,0.921,0.732,0.976,0.976,1.0,0.0,0.719,0.148,0.651,0.998,0.638,0.901,0.0,100.0,39.0
normalized_alphafold3_rp21_1.pdb,1.357,0.0,0.808,0.92,0.516,0.844,1.679,20.96,0.939,0.78,0.976,1.0,1.0,0.0,0.743,0.147,0.639,0.969,0.58,0.901,0.0,100.0,39.0
normalized_alphafold3_rp21_5.pdb,1.471,0.0,0.833,0.92,0.632,0.862,1.766,20.88,0.908,0.707,0.951,0.976,1.0,0.0,0.714,0.162,0.651,0.974,0.565,0.899,0.0,100.0,39.0
