,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_isrna_rp08.pdb,20.771,3.2958899970347844e-06,0.679,0.869,0.0,0.63,30.608,20.12,0.219,0.104,0.156,0.229,0.385,0.0,0.233,2.18,1.401,2.364,0.327,0.705,,,
normalized_3drna_rp08_1.pdb,23.195,0.0007892965186283,0.738,0.774,0.471,0.742,31.432,31.48,0.294,0.146,0.208,0.344,0.479,0.0,0.276,2.406,1.392,1.73,0.485,0.709,,,
normalized_rnajp_rp08.pdb,23.859,0.0026285116349684,0.652,0.677,0.289,0.662,36.615,24.22,0.206,0.115,0.146,0.219,0.344,0.0,0.22,2.495,1.569,2.859,0.011,0.669,,,
normalized_eprna_rp08.pdb,25.509,0.0304562204784341,0.019,0.0,0.0,0.044,1376.547,91.95,0.143,0.042,0.073,0.156,0.302,0.0,0.153,2.532,2.464,0.2,0.0,0.49,,,
normalized_3drna_rp08_4.pdb,26.078,0.0596211628039217,0.733,0.754,0.408,0.75,35.578,32.85,0.289,0.156,0.219,0.312,0.469,0.0,0.255,2.694,1.394,1.698,0.455,0.712,,,
normalized_3drna_rp08_5.pdb,26.523,0.094961932577613,0.729,0.794,0.471,0.72,36.363,29.78,0.271,0.135,0.198,0.292,0.458,0.0,0.249,2.74,1.366,1.896,0.485,0.724,,,
normalized_3drna_rp08_2.pdb,27.587,0.2358015104273805,0.693,0.758,0.408,0.688,39.786,27.49,0.273,0.146,0.208,0.292,0.448,0.0,0.25,2.849,1.424,1.911,0.481,0.72,,,
normalized_rnacomposer_rp08.pdb,27.932,0.2986537613346233,0.725,0.869,0.548,0.675,38.523,22.66,0.211,0.125,0.146,0.25,0.323,0.0,0.189,2.872,1.406,1.936,0.455,0.69,,,
normalized_3drna_rp08_3.pdb,29.789,0.6927447606391108,0.674,0.758,0.0,0.672,44.187,34.32,0.281,0.135,0.219,0.312,0.458,0.0,0.268,3.067,1.377,1.824,0.469,0.714,,,
normalized_ifoldrna_rp08_5.pdb,29.913,0.716425571728312,0.307,0.183,0.0,0.427,97.593,27.32,0.162,0.062,0.115,0.177,0.292,0.0,0.191,3.031,2.105,0.851,0.008,0.619,,,
normalized_ifoldrna_rp08_1.pdb,31.11,0.8920729803907304,0.331,0.204,0.0,0.446,94.05,28.9,0.151,0.062,0.115,0.177,0.25,0.0,0.174,3.184,2.176,0.883,0.004,0.612,,,
normalized_ifoldrna_rp08_4.pdb,31.48,0.9254691353534286,0.379,0.245,0.0,0.479,83.041,27.31,0.141,0.062,0.135,0.156,0.208,0.0,0.195,3.208,2.065,0.837,0.002,0.615,,,
normalized_ifoldrna_rp08_2.pdb,32.5,0.9777572983859414,0.347,0.102,0.0,0.493,93.54,28.38,0.13,0.062,0.094,0.135,0.229,0.0,0.16,3.321,2.076,0.854,0.006,0.638,,,
normalized_ifoldrna_rp08_3.pdb,33.209,0.9918806629726068,0.283,0.133,0.0,0.418,117.15,28.71,0.151,0.083,0.146,0.167,0.208,0.0,0.157,3.383,2.121,0.813,0.009,0.63,,,
normalized_alphafold3_rp08_1.pdb,3.108,0.0,0.912,0.97,0.667,0.907,3.406,9.77,0.779,0.542,0.708,0.865,1.0,0.0,0.747,0.311,0.751,3.077,0.854,0.9,0.0,100.0,96.0
normalized_alphafold3_rp08_4.pdb,3.124,0.0,0.912,0.97,0.667,0.907,3.424,9.58,0.794,0.542,0.76,0.875,1.0,0.0,0.777,0.313,0.753,3.082,0.855,0.9,0.0,100.0,96.0
normalized_alphafold3_rp08_3.pdb,3.175,0.0,0.92,0.97,0.816,0.907,3.45,9.79,0.792,0.562,0.729,0.875,1.0,0.0,0.758,0.316,0.747,3.091,0.853,0.899,0.0,100.0,96.0
normalized_alphafold3_rp08_5.pdb,3.186,0.0,0.92,0.97,0.816,0.907,3.462,9.76,0.773,0.542,0.688,0.865,1.0,0.0,0.73,0.319,0.749,3.052,0.852,0.898,0.0,100.0,96.0
normalized_alphafold3_rp08_2.pdb,3.196,0.0,0.92,0.97,0.73,0.913,3.473,9.69,0.786,0.552,0.729,0.865,1.0,0.0,0.756,0.318,0.755,3.065,0.854,0.9,0.0,100.0,96.0
